date,league,home_team,away_team,home_goals,away_goals
2025-12-01,La Liga,Getafe,Valencia,1,0
2025-12-01,La Liga,Osasuna,Sevilla,1,1
2025-12-02,La Liga,Real Sociedad,Villarreal,2,2
2025-12-02,La Liga,Barcelona,Almeria,3,0
2025-12-03,La Liga,Granada,Celta Vigo,0,1
2025-12-03,La Liga,Atletico Madrid,Mallorca,2,0
2025-12-06,La Liga,Athletic Bilbao,Rayo Vallecano,2,1
2025-12-06,La Liga,Real Madrid,Betis,3,1
2025-12-07,La Liga,Valencia,Espanyol,1,1
2025-12-07,La Liga,Villarreal,Las Palmas,2,0
2025-12-08,La Liga,Celta Vigo,Barcelona,1,2
2025-12-08,La Liga,Mallorca,Getafe,0,0
2025-12-13,La Liga,Almeria,Granada,1,1
2025-12-13,La Liga,Betis,Osasuna,2,0
2025-12-13,La Liga,Sevilla,Real Sociedad,1,2
2025-12-14,La Liga,Rayo Vallecano,Real Madrid,0,2
2025-12-14,La Liga,Las Palmas,Athletic Bilbao,1,1
2025-12-14,La Liga,Espanyol,Atletico Madrid,0,1
2025-12-15,La Liga,Barcelona,Valencia,4,2
2025-12-15,La Liga,Villarreal,Mallorca,1,0
2025-12-20,La Liga,Real Madrid,Celta Vigo,3,0
2025-12-20,La Liga,Atletico Madrid,Betis,2,1
2025-12-20,La Liga,Osasuna,Granada,1,0
2025-12-21,La Liga,Getafe,Espanyol,2,2
2025-12-21,La Liga,Athletic Bilbao,Barcelona,1,1
2025-12-22,La Liga,Valencia,Villarreal,0,1
2025-12-26,La Liga,Real Sociedad,Almeria,2,0
2025-12-27,La Liga,Betis,Las Palmas,1,1
2025-12-27,La Liga,Sevilla,Real Madrid,0,2
2025-12-28,La Liga,Granada,Atletico Madrid,1,3
